Num	Guess	Average remaining answers
1	roate:	86.175
2	raise:	87.299
3	raile:	87.892
4	soare:	88.509
5	irate:	88.706
6	orate:	88.822
7	artel:	89.347
8	ariel:	89.387
9	arise:	89.619
10	taler:	91.011
11	arose:	91.357
12	arles:	91.549
13	ratel:	91.816
14	aesir:	91.879
15	alter:	92.067
16	later:	92.586
17	tares:	92.707
18	alert:	92.836
19	realo:	92.866
20	strae:	92.931
21	oater:	93.229
22	stare:	93.293
23	reast:	93.298
24	lares:	93.556
25	taser:	93.825
26	reais:	93.995
27	serai:	94.418
28	rates:	94.516
29	rales:	94.540
30	raine:	94.638
31	terai:	94.700
32	seral:	94.704
33	laser:	94.976
34	reals:	95.482
35	tears:	95.487
36	snare:	95.547
37	saner:	95.662
38	resat:	95.833
39	aeros:	95.902
40	antre:	95.949
41	earst:	96.241
42	teras:	96.575
43	lears:	96.790
44	retia:	96.810
45	arets:	97.054
46	stear:	97.100
47	earnt:	97.241
48	aster:	97.365
49	laers:	97.381
50	salet:	98.158
51	earls:	98.182
52	nares:	98.270
53	slate:	98.647
54	learn:	99.448
55	reans:	99.768
56	crate:	100.533
57	caret:	100.613
58	carte:	100.673
59	stale:	100.997
60	nears:	101.095
61	stoae:	101.096
62	trace:	101.100
63	oriel:	101.203
64	tales:	101.419
65	aisle:	101.607
66	urate:	101.625
67	neral:	101.651
68	litre:	101.701
69	renal:	101.986
70	least:	102.194
71	earns:	102.204
72	sorel:	102.381
73	carse:	102.457
74	aloes:	102.647
75	leant:	102.696
76	slane:	102.843
77	reoil:	102.845
78	slier:	102.921
79	teals:	103.061
80	carle:	103.107
81	react:	103.818
82	laten:	104.072
83	alure:	104.172
84	soler:	104.235
85	torse:	104.286
86	saine:	104.366
87	tiler:	104.368
88	toile:	104.619
89	setal:	104.629
90	leats:	104.755
91	tries:	104.971
92	siler:	105.025
93	cater:	105.188
94	orles:	105.197
95	scrae:	105.229
96	telia:	105.251
97	trail:	105.260
98	urase:	105.280
99	relit:	105.343
100	liane:	105.542
101	taels:	105.607
102	scare:	105.631
103	cares:	105.964
104	ursae:	106.103
105	stire:	106.105
106	tesla:	106.122
107	store:	106.242
108	roset:	106.252
109	alone:	106.295
110	liter:	106.308
111	atone:	106.431
112	lores:	106.443
113	tolar:	106.478
114	liart:	106.639
115	stane:	106.689
116	roles:	106.816
117	reist:	106.860
118	tires:	106.972
119	anole:	107.006
120	oiler:	107.042
121	trone:	107.080
122	solar:	107.154
123	ayrie:	107.177
124	roast:	107.205
125	loser:	107.222
126	arsey:	107.261
127	riles:	107.410
128	tores:	107.499
129	uraei:	107.708
130	lanes:	107.759
131	toeas:	107.817
132	oaten:	107.851
133	trial:	107.911
134	aures:	107.958
135	serac:	108.031
136	ronte:	108.123
137	teary:	108.163
138	crane:	108.259
139	races:	108.284
140	leirs:	108.291
141	coate:	108.330
142	trade:	108.511
143	rotes:	108.666
144	sayer:	108.720
145	sared:	108.837
146	rayle:	108.999
147	aline:	109.030
148	resit:	109.071
149	orals:	109.073
150	soral:	109.081
151	acres:	109.257
152	rites:	109.391
153	leans:	109.443
154	paire:	109.495
155	rance:	109.505
156	anile:	109.518
157	rotal:	109.579
158	tared:	109.583
159	trine:	109.701
160	riels:	109.726
161	nates:	109.739
162	slart:	109.787
163	alien:	109.907
164	lacer:	109.932
165	saice:	109.959
166	neals:	109.972
167	clear:	110.031
168	areic:	110.077
169	tenor:	110.149
170	ureal:	110.175
171	stair:	110.294
172	sitar:	110.317
173	steal:	110.333
174	prate:	110.362
175	recta:	110.406
176	liers:	110.437
177	ceria:	110.468
178	osier:	110.527
179	ariot:	110.595
180	nacre:	110.664
181	stela:	110.902
182	trape:	110.940
183	senor:	110.970
184	anise:	111.020
185	taros:	111.114
186	arils:	111.135
187	snore:	111.213
188	neats:	111.220
189	rathe:	111.238
190	lairs:	111.402
191	resto:	111.405
192	aeons:	111.556
193	antes:	111.574
194	orant:	111.619
195	siren:	111.626
