Num	Guess	Average remaining answers
1	djinn:	1.000
2	bifid:	1.000
3	bidon:	1.000
4	ahind:	1.000
5	feign:	1.000
6	deign:	1.000
7	debug:	1.333
8	debit:	1.333
9	china:	1.333
10	child:	1.333
11	chief:	1.333
12	chide:	1.333
13	chain:	1.333
14	cabin:	1.333
15	build:	1.333
16	brief:	1.333
17	bride:	1.333
18	brain:	1.333
19	braid:	1.333
20	bound:	1.333
21	blind:	1.333
22	doing:	1.333
23	drink:	1.333
24	edify:	1.333
25	elfin:	1.333
26	fight:	1.333
27	flint:	1.333
28	found:	1.333
29	fudge:	1.333
30	fried:	1.333
31	fluid:	1.333
32	grind:	1.333
33	habit:	1.333
34	fling:	1.333
35	thing:	1.333
36	think:	1.333
37	urban:	1.333
38	thigh:	1.333
39	whiny:	1.333
40	abrin:	1.333
41	ahint:	1.333
42	ahing:	1.333
43	whine:	1.333
44	anigh:	1.333
45	ahigh:	1.333
46	whiff:	1.333
47	weigh:	1.333
48	baith:	1.333
49	balun:	1.333
50	bight:	1.333
51	blain:	1.333
52	bodhi:	1.333
53	bluid:	1.333
54	bovid:	1.333
55	brith:	1.333
56	bundh:	1.333
57	burin:	1.333
58	buran:	1.333
59	budis:	1.333
60	cebid:	1.333
61	chins:	1.333
62	chino:	1.333
63	chink:	1.333
64	coign:	1.333
65	ching:	1.333
66	chine:	1.333
67	chimb:	1.333
68	chibs:	1.333
69	daint:	1.333
70	daine:	1.333
71	derig:	1.333
72	dobie:	1.333
73	djins:	1.333
74	dight:	1.333
75	dribs:	1.333
76	duing:	1.333
77	dwine:	1.333
78	eldin:	1.333
79	ehing:	1.333
80	dhobi:	1.333
81	faugh:	1.333
82	felid:	1.333
83	figgy:	1.333
84	flied:	1.333
85	foins:	1.333
86	frith:	1.333
87	fuggy:	1.333
88	fudgy:	1.333
89	frigs:	1.333
90	fribs:	1.333
91	foids:	1.333
92	fidge:	1.333
93	ficin:	1.333
94	unbid:	1.333
95	unban:	1.333
96	feint:	1.333
97	whins:	1.333
98	whigs:	1.333
99	whift:	1.333
100	whids:	1.333
101	fains:	1.333
102	halid:	1.333
103	haint:	1.333
104	hemin:	1.333
105	heigh:	1.333
106	hoing:	1.333
107	hudna:	1.333
108	hyoid:	1.333
109	hying:	1.333
110	iodin:	1.333
111	huggy:	1.333
112	hoied:	1.333
113	heids:	1.333
114	hains:	1.333
115	hafiz:	1.333
116	faine:	1.333
117	fagin:	1.333
118	dhikr:	1.333
119	laigh:	1.333
120	deify:	1.333
121	defis:	1.333
122	bruin:	1.333
123	breid:	1.333
124	bourn:	1.333
125	bosun:	1.333
126	bigha:	1.333
127	bavin:	1.333
128	bedim:	1.333
129	bidis:	1.333
130	bhuna:	1.333
131	bhais:	1.333
132	betid:	1.333
133	bairn:	1.333
134	thief:	1.333
135	humid:	1.333
136	naifs:	1.333
137	neifs:	1.333
138	nitid:	1.333
139	noint:	1.333
140	obied:	1.333
141	ohing:	1.333
142	nying:	1.333
143	nudie:	1.333
144	nubia:	1.333
145	naiad:	1.333
146	nabis:	1.333
147	hound:	1.333
148	fiend:	1.333
149	fetid:	1.333
150	poind:	1.333
151	faith:	1.333
152	faint:	1.333
153	dying:	1.333
154	drift:	1.333
155	drain:	1.333
156	neigh:	1.333
157	nudge:	1.333
158	rebid:	1.333
159	nadir:	1.333
160	rhine:	1.333
161	dough:	1.333
162	bison:	1.333
163	rubin:	1.333
164	sahib:	1.333
165	sabin:	1.333
166	begun:	1.333
167	sdein:	1.333
168	begin:	1.333
169	rabid:	1.333
170	shins:	1.333
171	befit:	1.333
172	rhino:	1.333
173	robin:	1.333
174	reign:	1.333
175	basin:	1.333
176	shine:	1.333
177	shiny:	1.333
178	shift:	1.333
179	shied:	1.333
180	aphid:	1.333
181	align:	1.333
182	admin:	1.333
183	tabun:	1.333
184	tabid:	1.333
185	teind:	1.333
186	thein:	1.333
187	thrid:	1.333
188	thins:	1.333
189	thine:	1.333
190	thigs:	1.333
191	third:	1.333
192	abide:	1.333
193	unbar:	1.500
194	usage:	1.500
195	abris:	1.500
196	bitty:	1.500
197	bully:	1.500
198	bulky:	1.500
199	bulge:	1.500
200	built:	1.500
201	flush:	1.500
202	brisk:	1.500
203	burro:	1.500
204	butle:	1.500
205	butes:	1.500
206	buteo:	1.500
207	busty:	1.500
208	busts:	1.500
209	busti:	1.500
210	bussu:	1.500
211	busky:	1.500
212	busks:	1.500
213	buses:	1.500
214	busby:	1.500
215	burse:	1.500
216	bursa:	1.500
217	burry:	1.500
218	dhuti:	1.500
219	burrs:	1.500
220	burqa:	1.500
221	duits:	1.500
222	burps:	1.500
223	buroo:	1.500
224	burns:	1.500
225	obits:	1.500
226	obiit:	1.500
227	fauld:	1.500
228	faurd:	1.500
229	burls:	1.500
230	burks:	1.500
231	burke:	1.500
232	burka:	1.500
233	bijou:	1.500
234	burbs:	1.500
235	buras:	1.500
236	bigos:	1.500
237	bubus:	1.500
238	bubby:	1.500
239	bubbe:	1.500
240	bubba:	1.500
241	bubas:	1.500
242	bubal:	1.500
243	buaze:	1.500
244	hurds:	1.500
245	humfs:	1.500
246	huias:	1.500
247	hudud:	1.500
248	huffy:	1.500
249	rebit:	1.500
250	huffs:	1.500
251	buats:	1.500
252	bruts:	1.500
253	brust:	1.500
254	rubus:	1.500
255	sabir:	1.500
256	rubli:	1.500
257	ruble:	1.500
258	brusk:	1.500
259	brung:	1.500
260	brume:	1.500
261	brule:	1.500
262	bruit:	1.500
263	brize:	1.500
264	britt:	1.500
265	brits:	1.500
266	blurs:	1.500
267	breis:	1.500
268	bouts:	1.500
269	bousy:	1.500
270	bouse:	1.500
271	blunk:	1.500
272	blume:	1.500
273	bigly:	1.500
274	briny:	1.500
275	brink:	1.500
276	biggy:	1.500
277	biggs:	1.500
278	tabus:	1.500
279	bigae:	1.500
280	tabis:	1.500
281	bring:	1.500
282	bambi:	1.500
283	balus:	1.500
284	baize:	1.500
285	baiza:	1.500
286	unbox:	1.500
287	baits:	1.500
288	brine:	1.500
289	baisa:	1.500
290	being:	1.500
291	blitz:	1.500
292	bliss:	1.500
293	blink:	1.500
294	basis:	1.500
295	judge:	1.667
296	blend:	1.667
297	bland:	1.667
298	laugh:	1.667
299	alien:	1.667
300	birth:	1.667
301	login:	1.667
302	birch:	1.667
303	bunch:	1.667
304	butch:	1.667
305	midge:	1.667
306	cairn:	1.667
307	bushy:	1.667
308	chirp:	1.667
309	onion:	1.667
310	chill:	1.667
311	chime:	1.667
312	chili:	1.667
313	bused:	1.667
314	biddy:	1.667
315	plain:	1.667
316	axion:	1.667
317	began:	1.667
318	cough:	1.667
319	pudgy:	1.667
320	avian:	1.667
321	budge:	1.667
322	ridge:	1.667
323	rough:	1.667
324	satin:	1.667
325	resin:	1.667
326	shirt:	1.667
327	shrub:	1.667
328	slain:	1.667
329	shirk:	1.667
330	shire:	1.667
331	scion:	1.667
332	buddy:	1.667
333	brush:	1.667
334	brown:	1.667
335	baton:	1.667
336	stain:	1.667
337	butoh:	1.667
338	cumin:	1.667
339	stein:	1.667
340	deity:	1.667
341	debut:	1.667
342	thumb:	1.667
343	hinge:	1.667
344	toxin:	1.667
345	chiro:	1.667
346	chizz:	1.667
347	chubs:	1.667
348	chugs:	1.667
349	chivy:	1.667
350	chivs:	1.667
351	chive:	1.667
352	chits:	1.667
353	chiru:	1.667
354	chirt:	1.667
355	chirr:	1.667
356	chirm:	1.667
357	colin:	1.667
358	chirl:	1.667
359	conin:	1.667
360	chirk:	1.667
361	chips:	1.667
362	train:	1.667
363	tough:	1.667
364	covin:	1.667
365	bacon:	1.667
366	using:	1.667
367	subha:	1.667
368	sugan:	1.667
369	tamin:	1.667
370	thugs:	1.667
371	tigon:	1.667
372	tiyin:	1.667
373	takin:	1.667
374	thirl:	1.667
375	thiol:	1.667
376	swain:	1.667
377	subah:	1.667
378	thill:	1.667
379	tubed:	1.667
380	thilk:	1.667
381	untin:	1.667
382	unpin:	1.667
383	twain:	1.667
384	unbed:	1.667
385	tyiyn:	1.667
386	venin:	1.667
387	ulmin:	1.667
388	vodun:	1.667
389	widen:	1.667
390	thegn:	1.667
391	whizz:	1.667
392	wigan:	1.667
393	whity:	1.667
394	whits:	1.667
395	whist:	1.667
396	whiss:	1.667
397	whish:	1.667
398	whirs:	1.667
399	whirr:	1.667
400	yogin:	1.667
401	whipt:	1.667
402	zayin:	1.667
403	zigan:	1.667
404	whips:	1.667
405	whios:	1.667
406	thagi:	1.667
407	whims:	1.667
408	whilk:	1.667
409	waugh:	1.667
410	teugh:	1.667
411	chimp:	1.667
412	cubed:	1.667
413	chimo:	1.667
414	chics:	1.667
415	chile:	1.667
416	cutin:	1.667
417	chiks:	1.667
418	daggy:	1.667
419	dagga:	1.667
420	dauby:	1.667
421	daubs:	1.667
422	deist:	1.667
423	dibbs:	1.667
424	dings:	1.667
425	doggy:	1.667
426	doggo:	1.667
427	dogan:	1.667
428	dinge:	1.667
429	divan:	1.667
430	dizen:	1.667
431	diwan:	1.667
432	dimbo:	1.667
433	dript:	1.667
434	drugs:	1.667
435	dungs:	1.667
436	dungy:	1.667
437	durgy:	1.667
438	dumbs:	1.667
439	dumbo:	1.667
440	elsin:	1.667
441	eloin:	1.667
442	elain:	1.667
443	dulia:	1.667
444	eosin:	1.667
445	dubbo:	1.667
446	drubs:	1.667
447	ettin:	1.667
448	drips:	1.667
449	fauns:	1.667
450	fidos:	1.667
451	feist:	1.667
452	fairs:	1.667
453	fibro:	1.667
454	flips:	1.667
455	flitt:	1.667
456	foils:	1.667
457	fugly:	1.667
458	furan:	1.667
459	futon:	1.667
460	fungs:	1.667
461	fungo:	1.667
462	fugle:	1.667
463	gamin:	1.667
464	fugio:	1.667
465	fugie:	1.667
466	frizz:	1.667
467	fugal:	1.667
468	fubsy:	1.667
469	fubby:	1.667
470	gibed:	1.667
471	fubar:	1.667
472	frugs:	1.667
473	frize:	1.667
474	fritt:	1.667
475	frits:	1.667
476	flubs:	1.667
477	frist:	1.667
478	goban:	1.667
479	frise:	1.667
480	flits:	1.667
481	fries:	1.667
482	frier:	1.667
483	flite:	1.667
484	flisk:	1.667
485	grein:	1.667
486	flirs:	1.667
487	flims:	1.667
488	flimp:	1.667
489	flies:	1.667
490	guqin:	1.667
491	haith:	1.667
492	hairs:	1.667
493	hangi:	1.667
494	drily:	1.667
495	haugh:	1.667
496	heirs:	1.667
497	heugh:	1.667
498	heils:	1.667
499	himbo:	1.667
500	hutia:	1.667
501	hygge:	1.667
502	hoise:	1.667
503	imbed:	1.667
504	humic:	1.667
505	inion:	1.667
506	ingan:	1.667
507	hings:	1.667
508	hongi:	1.667
509	huger:	1.667
510	hoiks:	1.667
511	hoggs:	1.667
512	hough:	1.667
513	jibed:	1.667
514	hubby:	1.667
515	hogen:	1.667
516	hogan:	1.667
517	judgy:	1.667
518	hijab:	1.667
519	dries:	1.667
520	heben:	1.667
521	haggs:	1.667
522	habus:	1.667
523	kaugh:	1.667
524	faggy:	1.667
525	drice:	1.667
526	diebs:	1.667
527	dhoti:	1.667
528	deism:	1.667
529	kidge:	1.667
530	kinin:	1.667
531	deils:	1.667
532	debus:	1.667
533	defog:	1.667
534	koban:	1.667
535	debur:	1.667
536	debud:	1.667
537	debag:	1.667
538	daube:	1.667
539	chiel:	1.667
540	kylin:	1.667
541	chico:	1.667
542	lakin:	1.667
543	lapin:	1.667
544	chich:	1.667
545	chica:	1.667
546	lawin:	1.667
547	layin:	1.667
548	leben:	1.667
549	white:	1.667
550	whisk:	1.667
551	leugh:	1.667
552	levin:	1.667
553	whirl:	1.667
554	likin:	1.667
555	ligan:	1.667
556	linin:	1.667
557	lipin:	1.667
558	aband:	1.667
559	aboon:	1.667
560	actin:	1.667
561	urine:	1.667
562	while:	1.667
563	drive:	1.667
564	lough:	1.667
565	weird:	1.667
566	lubed:	1.667
567	lupin:	1.667
568	agrin:	1.667
569	algin:	1.667
570	lysin:	1.667
571	burgh:	1.667
572	burfi:	1.667
573	burds:	1.667
574	budos:	1.667
575	bundu:	1.667
576	bundy:	1.667
577	bundt:	1.667
578	matin:	1.667
579	mavin:	1.667
580	bunds:	1.667
581	buhrs:	1.667
582	bunde:	1.667
583	bumph:	1.667
584	bumfs:	1.667
585	buhls:	1.667
586	bufty:	1.667
587	midgy:	1.667
588	bufos:	1.667
589	buffy:	1.667
590	mirin:	1.667
591	buffs:	1.667
592	buffo:	1.667
593	buffi:	1.667
594	buffe:	1.667
595	buffa:	1.667
596	aloin:	1.667
597	budas:	1.667
598	buchu:	1.667
599	amban:	1.667
600	amain:	1.667
601	mudge:	1.667
602	mucin:	1.667
603	union:	1.667
604	anion:	1.667
605	dirge:	1.667
606	apian:	1.667
607	naggy:	1.667
608	drill:	1.667
609	elide:	1.667
610	doubt:	1.667
611	dingy:	1.667
612	dingo:	1.667
613	niton:	1.667
614	noggs:	1.667
615	niqab:	1.667
616	oggin:	1.667
617	olein:	1.667
618	numbs:	1.667
619	nuffs:	1.667
620	opsin:	1.667
621	orcin:	1.667
622	orpin:	1.667
623	nudzh:	1.667
624	nimbs:	1.667
625	nubby:	1.667
626	nimbi:	1.667
627	nikab:	1.667
628	blown:	1.667
629	biled:	1.667
630	binds:	1.667
631	birds:	1.667
632	brugh:	1.667
633	patin:	1.667
634	pavin:	1.667
635	brond:	1.667
636	bogan:	1.667
637	pekin:	1.667
638	boxen:	1.667
639	boeuf:	1.667
640	blawn:	1.667
641	blaud:	1.667
642	bluds:	1.667
643	bourd:	1.667
644	boson:	1.667
645	boron:	1.667
646	blued:	1.667
647	bludy:	1.667
648	blude:	1.667
649	bitch:	1.667
650	bipod:	1.667
651	biped:	1.667
652	bindi:	1.667
653	bimah:	1.667
654	biked:	1.667
655	porin:	1.667
656	potin:	1.667
657	powin:	1.667
658	brand:	1.667
659	fibre:	1.667
660	flirt:	1.667
661	proin:	1.667
662	prion:	1.667
663	psion:	1.667
664	pudge:	1.667
665	foggy:	1.667
666	barfi:	1.667
667	purin:	1.667
668	bason:	1.667
669	bauds:	1.667
670	befog:	1.667
671	biffy:	1.667
672	biffs:	1.667
673	quoin:	1.667
674	biffo:	1.667
675	bield:	1.667
676	ramin:	1.667
677	belon:	1.667
678	biach:	1.667
679	ravin:	1.667
680	rawin:	1.667
681	redub:	1.667
682	bidet:	1.667
683	bides:	1.667
684	bider:	1.667
685	renin:	1.667
686	repin:	1.667
687	bided:	1.667
688	ricin:	1.667
689	ridgy:	1.667
690	rhumb:	1.667
691	rewin:	1.667
692	bhuts:	1.667
693	bemud:	1.667
694	ronin:	1.667
695	bhang:	1.667
696	rosin:	1.667
697	bhaji:	1.667
698	rutin:	1.667
699	beton:	1.667
700	begad:	1.667
701	beedi:	1.667
702	sarin:	1.667
703	saugh:	1.667
704	savin:	1.667
705	sasin:	1.667
706	basen:	1.667
707	basan:	1.667
708	baken:	1.667
709	bajan:	1.667
710	avion:	1.667
711	auxin:	1.667
712	fritz:	1.667
713	fungi:	1.667
714	serin:	1.667
715	sewin:	1.667
716	frisk:	1.667
717	shits:	1.667
718	shogi:	1.667
719	shlub:	1.667
720	shivs:	1.667
721	shive:	1.667
722	shiva:	1.667
723	shiur:	1.667
724	shite:	1.667
725	shist:	1.667
726	shiso:	1.667
727	skein:	1.667
728	shish:	1.667
729	shirs:	1.667
730	shirr:	1.667
731	ships:	1.667
732	bahut:	1.667
733	bahus:	1.667
734	baghs:	1.667
735	frill:	1.667
736	flunk:	1.667
737	flung:	1.667
738	fiber:	1.667
739	fairy:	1.667
740	brawn:	1.667
741	blush:	1.667
742	grain:	1.667
743	groin:	1.667
744	sough:	1.667
745	bluff:	1.667
746	spain:	1.667
747	sozin:	1.667
748	bough:	1.667
749	hairy:	1.667
750	blond:	1.667
751	baron:	1.667
752	again:	1.667
753	hoist:	2.000
754	human:	2.000
755	idiot:	2.000
756	idiom:	2.000
757	icing:	2.000
758	audio:	2.000
759	blimp:	2.000
760	joint:	2.000
761	aside:	2.000
762	knife:	2.000
763	aging:	2.000
764	bugle:	2.000
765	cliff:	2.000
766	buggy:	2.000
767	light:	2.000
768	livid:	2.000
769	lipid:	2.000
770	lucid:	2.000
771	lying:	2.000
772	mafia:	2.000
773	lurid:	2.000
774	chick:	2.000
775	belie:	2.000
776	bigot:	2.000
777	might:	2.000
778	medic:	2.000
779	media:	2.000
780	brunt:	2.000
781	motif:	2.000
782	mound:	2.000
783	naive:	2.000
784	night:	2.000
785	noisy:	2.000
786	noise:	2.000
787	opine:	2.000
788	ought:	2.000
789	owing:	2.000
790	paint:	2.000
791	pagan:	2.000
792	oxide:	2.000
793	ovoid:	2.000
794	ovine:	2.000
795	organ:	2.000
796	piggy:	2.000
797	orbit:	2.000
798	plied:	2.000
799	point:	2.000
800	plaid:	2.000
801	pound:	2.000
802	pried:	2.000
803	print:	2.000
804	pride:	2.000
805	pubic:	2.000
806	ninny:	2.000
807	broil:	2.000
808	rainy:	2.000
809	rapid:	2.000
810	radio:	2.000
811	radii:	2.000
812	rigid:	2.000
813	round:	2.000
814	rugby:	2.000
815	saint:	2.000
816	right:	2.000
817	refit:	2.000
818	afire:	2.000
819	shunt:	2.000
820	sight:	2.000
821	skiff:	2.000
822	shrug:	2.000
823	slink:	2.000
824	sling:	2.000
825	slide:	2.000
826	smith:	2.000
827	alibi:	2.000
828	sniff:	2.000
829	solid:	2.000
830	sound:	2.000
831	snide:	2.000
832	serif:	2.000
833	spied:	2.000
834	spiny:	2.000
835	spine:	2.000
836	squib:	2.000
837	staid:	2.000
838	stiff:	2.000
839	stint:	2.000
840	stink:	2.000
841	sting:	2.000
842	sprig:	2.000
